"","source_id","source_url","source_title","eissn","issn_print","is_diamond","jjps_status","country"
"148",1609,"https://www.ajol.info/index.php/ejossah","Ethiopian Journal of the Social Sciences and Humanities","2520-582X","1810-4487",1,"No Stars","Ethiopia"
"149",1256,"https://www.ajol.info/index.php/emj","Ethiopian Medical Journal","2415-2420","0014-1755",1,"2 Stars","Ethiopia"
"150",1257,"https://www.ajol.info/index.php/erjssh","Ethiopian Renaissance Journal of Social Sciences and Humanities","2409-6385","2409-6377",1,"2 Stars","Ethiopia"
"151",1610,"https://www.ajol.info/index.php/evj","Ethiopian Veterinary Journal","2221-5034","1683-6324",1,"No Stars","Ethiopia"
"152",1068,"https://www.ajol.info/index.php/ebnr","Evidence-Based Nursing Research","2636-400X","2636-3992",1,"1 Star","Egypt, Arab Rep."
"153",1069,"https://www.ajol.info/index.php/fepijopas","Federal Polytechnic Ilaro Journal of Pure and Applied Sciences","2714-2531",NA,1,"1 Star","Nigeria"
"154",1258,"https://www.ajol.info/index.php/fa","Feminist Africa","1726-4596",NA,1,"2 Stars","Ghana"
"155",1260,"https://www.ajol.info/index.php/fuoyejet","FUOYE Journal of Engineering and Technology","2579-0617","2579-0625",1,"2 Stars","Nigeria"
"156",1071,"https://www.ajol.info/index.php/gjas","Ghana Journal of Agricultural Science","0855-0042",NA,1,"1 Star","Ghana"
"157",1262,"https://www.ajol.info/index.php/gjg","Ghana Journal of Geography","2821-8892","0855-9414",1,"2 Stars","Ghana"
"158",1263,"https://www.ajol.info/index.php/gjl","Ghana Journal of Linguistics","2026-6596",NA,1,"2 Stars","Ghana"
"159",1072,"https://www.ajol.info/index.php/gjrt","Ghana Journal of Religion and Theology","2616-1591","0855-7942",1,"1 Star","Ghana"
"160",1073,"https://www.ajol.info/index.php/gjs","Ghana Journal of Science","0855-1448","0016-9544",1,"1 Star","Ghana"
"161",1613,"https://www.ajol.info/index.php/gjstd","Ghana Journal of Science, Technology and Development","2343-6727",NA,1,"No Stars","Ghana"
"162",1074,"https://www.ajol.info/index.php/glj","Ghana Library Journal","0855-3033",NA,1,"1 Star","Ghana"
"163",1075,"https://www.ajol.info/index.php/gmj","Ghana Medical Journal",NA,"0016-9560",1,"1 Star","Ghana"
"164",1614,"https://www.ajol.info/index.php/gm","Ghana Mining Journal","0855-210X",NA,1,"No Stars","Ghana"
"165",1076,"https://www.ajol.info/index.php/gjansci","Ghanaian Journal of Animal Science",NA,"0855-7349",1,"1 Star","Ghana"
"166",1077,"https://www.ajol.info/index.php/gjass","Global Journal of Agricultural Sciences","2992-4499","1596-2903",1,"1 Star","Nigeria"
"167",1078,"https://www.ajol.info/index.php/gjedr","Global Journal of Educational Research","2992-4480","1596-6224",1,"1 Star","Nigeria"
"168",1615,"https://www.ajol.info/index.php/gjer","Global Journal of Engineering Research","1596-292X",NA,1,"No Stars","Nigeria"
